idx,dims,k,shape,arm,result,seconds
234,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
234,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
235,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
235,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,168.5
235,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
235,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
239,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
239,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,142.9
239,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
239,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
241,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
241,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
241,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
241,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
242,"(4, 5, 9)",10,4x5x7,cadical,TIMEOUT,300.0
242,"(4, 5, 9)",10,4x5x7,cadical_lex,TIMEOUT,300.0
242,"(4, 5, 9)",10,4x5x7,hydra_satsuma,TIMEOUT,298.4
242,"(4, 5, 9)",10,4x5x7,kissat,TIMEOUT,300.0
243,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
243,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
243,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
243,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
244,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
244,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
244,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
244,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
245,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
245,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
245,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
